ID,name,score1,score2
1,Student_1,60,58
2,Student_2,68,75
3,Student_3,86,92
4,Student_4,92,96
5,Student_5,91,55
6,Student_6,61,87
7,Student_7,88,74
8,Student_8,63,89
9,Student_9,98,60
10,Student_10,92,79
11,Student_11,79,81
12,Student_12,74,73
13,Student_13,51,63
14,Student_14,77,97
15,Student_15,83,63
16,Student_16,82,64
17,Student_17,62,84
18,Student_18,54,92
19,Student_19,54,82
20,Student_20,50,88
21,Student_21,86,77
22,Student_22,89,71
23,Student_23,97,85
24,Student_24,68,63
25,Student_25,94,68
26,Student_26,94,89
27,Student_27,83,89
28,Student_28,79,73
29,Student_29,100,84
30,Student_30,86,71
31,Student_31,74,69
32,Student_32,62,65
33,Student_33,75,80
34,Student_34,88,59
35,Student_35,95,52
36,Student_36,75,98
37,Student_37,62,86
38,Student_38,55,64
39,Student_39,63,85
40,Student_40,66,62
41,Student_41,88,88
42,Student_42,98,56
43,Student_43,66,67
44,Student_44,67,80
45,Student_45,85,83
46,Student_46,71,94
47,Student_47,98,88
48,Student_48,72,89
49,Student_49,92,66
50,Student_50,65,73
51,Student_51,82,99
52,Student_52,75,68
53,Student_53,93,87
54,Student_54,73,92
55,Student_55,99,58
56,Student_56,72,55
57,Student_57,78,80
58,Student_58,74,67
59,Student_59,74,81
60,Student_60,55,59
61,Student_61,65,95
62,Student_62,54,64
63,Student_63,84,57
64,Student_64,87,57
65,Student_65,54,53
66,Student_66,82,86
67,Student_67,95,91
68,Student_68,75,76
69,Student_69,86,94
70,Student_70,81,80
71,Student_71,57,79
72,Student_72,56,80
73,Student_73,57,94
74,Student_74,87,88
75,Student_75,51,84
76,Student_76,73,95
77,Student_77,78,99
78,Student_78,87,80
79,Student_79,52,57
80,Student_80,65,75
81,Student_81,52,72
82,Student_82,93,77
83,Student_83,57,99
84,Student_84,68,96
85,Student_85,83,92
86,Student_86,72,76
87,Student_87,78,50
88,Student_88,78,88
89,Student_89,63,99
90,Student_90,81,81
91,Student_91,81,86
92,Student_92,75,64
93,Student_93,93,83
94,Student_94,69,56
95,Student_95,63,51
96,Student_96,71,99
97,Student_97,70,54
98,Student_98,53,82
99,Student_99,88,80
100,Student_100,95,78
101,Student_101,64,91
102,Student_102,68,93
103,Student_103,75,72
104,Student_104,100,85
105,Student_105,55,90
106,Student_106,92,83
107,Student_107,52,71
108,Student_108,86,92
109,Student_109,51,66
110,Student_110,92,59
111,Student_111,85,97
112,Student_112,56,56
113,Student_113,61,63
114,Student_114,71,98
115,Student_115,52,72
116,Student_116,93,73
117,Student_117,94,51
118,Student_118,100,70
119,Student_119,57,91
120,Student_120,84,68
121,Student_121,94,83
122,Student_122,78,80
123,Student_123,92,77
124,Student_124,78,72
125,Student_125,80,61
126,Student_126,91,92
127,Student_127,100,69
128,Student_128,98,66
129,Student_129,54,92
130,Student_130,78,87
131,Student_131,96,60
132,Student_132,91,81
133,Student_133,75,92
134,Student_134,72,100
135,Student_135,65,87
136,Student_136,55,84
137,Student_137,53,70
138,Student_138,83,73
139,Student_139,68,89
140,Student_140,86,93
141,Student_141,99,66
142,Student_142,59,68
143,Student_143,74,98
144,Student_144,63,51
145,Student_145,82,82
146,Student_146,77,86
147,Student_147,57,77
